code	Gysseling online tag	Vertaling Meertens voor CRM	Verklaring uit database		
000	NOU(type=common,number=sg,inflection=0)	pos=N,feat.getal=ev	zelfstandig naamwoord enkelvoud, geen uitgang	N(soort,ev,form=0)	
001	NOU(type=common,number=sg,inflection=e)	pos=N,feat.getal=ev,feat.form=-e	zelfstandig naamwoord enkelvoud, uitgang -e	N(soort,ev,form=-e)	
002	NOU(type=common,number=sg,inflection=s/th)	pos=N,feat.getal=ev,feat.form=-s/-th	zelfstandig naamwoord enkelvoud, uitgang -s/-th	N(soort,ev,form=-s/-th)	
003	NOU(type=common,number=sg,inflection=t)	pos=N,feat.getal=ev,feat.form=-t	zelfstandig naamwoord enkelvoud, uitgang -t	N(soort,ev,form=-t)	
004	NOU(type=common,number=sg,inflection=n)	pos=N,feat.getal=ev,feat.form=-n	zelfstandig naamwoord enkelvoud, uitgang -n	N(soort,ev,form=-n)	
005	NOU(type=common,number=sg,inflection=r/re)	pos=N,feat.getal=ev,feat.form=-r/-re	zelfstandig naamwoord enkelvoud, uitgang -r/-re	N(soort,ev,form=-r/-re)	
006	NOU(type=common,number=sg,inflection=a)	pos=N,feat.getal=ev,feat.form=-a	zelfstandig naamwoord enkelvoud, uitgang -a	N(soort,ev,form=-a)	
009	NOU(type=common,number=sg,inflection=other)	pos=N,feat.getal=ev,feat.form=unclear	zelfstandig naamwoord enkelvoud, uitgang latijn, onduidelijk of evident fout geschreven	N(soort,ev,form=other)	
010	NOU(type=common,number=pl,inflection=0)	pos=N,feat.getal=mv	zelfstandig naamwoord meervoud, geen uitgang	N(soort,mv,form=0)	
011	NOU(type=common,number=pl,inflection=e)	pos=N,feat.getal=mv,feat.form=-e	zelfstandig naamwoord meervoud, uitgang -e	N(soort,mv,form=-e)	
012	NOU(type=common,number=pl,inflection=s/th)	pos=N,feat.getal=mv,feat.form=-s/-th	zelfstandig naamwoord meervoud, uitgang -s/-th	N(soort,mv,form=-s/-th)	
013	NOU(type=common,number=pl,inflection=t)	pos=N,feat.getal=mv,feat.form=-t	zelfstandig naamwoord meervoud, uitgang -t	N(soort,mv,form=-t)	
014	NOU(type=common,number=pl,inflection=n)	pos=N,feat.getal=mv,feat.form=-n	zelfstandig naamwoord meervoud, uitgang -n	N(soort,mv,form=-n)	
015	NOU(type=common,number=pl,inflection=r/re)	pos=N,feat.getal=mv,feat.form=-r/-re	zelfstandig naamwoord meervoud, uitgang -r/-re	N(soort,mv,form=-r/-re)	
016	NOU(type=common,number=pl,inflection=a)	pos=N,feat.getal=mv,feat.form=-a	zelfstandig naamwoord meervoud, uitgang -a	N(soort,mv,form=-a)	
019	NOU(type=common,number=pl,inflection=other)	pos=N,feat.getal=mv,feat.form=unclear	zelfstandig naamwoord meervoud, uitgang latijn, onduidelijk of evident fout geschreven	N(soort,mv,form=other)	
020	NOU(type=proper,inflection=0)	pos=N,feat.ntype=eigen	eigennaam, geen uitgang	N(eigen,form=0)	
021	NOU(type=proper,inflection=e)	pos=N,feat.ntype=eigen,feat.form=-e	eigennaam, uitgang -e	N(eigen,form=-e)	
022	NOU(type=proper,inflection=s/th)	pos=N,feat.ntype=eigen,feat.form=-s/-th	eigennaam, uitgang -s/-th	N(eigen,form=-s/-th)	
023	NOU(type=proper,inflection=t)	pos=N,feat.ntype=eigen,feat.form=-t	eigennaam, uitgang -t	N(eigen,form=-t)	
024	NOU(type=proper,inflection=n)	pos=N,feat.ntype=eigen,feat.form=-n	eigennaam, uitgang -n	N(eigen,form=-n)	
025	NOU(type=proper,inflection=r/re)	pos=N,feat.ntype=eigen,feat.form=-r/-re	eigennaam, uitgang -r/-re	N(eigen,form=-r/-re)	
026	NOU(type=proper,inflection=a)	pos=N,feat.ntype=eigen,feat.form=-a	eigennaam, uitgang -a	N(eigen,form=-a)	
029	NOU(type=proper,inflection=other)	pos=N,feat.ntype=eigen,feat.form=unclear	eigennaam, uitgang latijn, onduidelijk of evident fout geschreven	N(eigen,form=other)	
090	NOU(type=other,inflection=0)	pos=N,feat.probleemgeval=true	zelfstandig naamwoord probleemgeval, geen uitgang	N(probleem=true,form=0)	
091	NOU(type=other,inflection=e)	pos=N,feat.probleemgeval=true,feat.form=-e	zelfstandig naamwoord probleemgeval, uitgang -e	N(probleem=true,form=-e)	
092	NOU(type=other,inflection=s/th)	pos=N,feat.probleemgeval=true,feat.form=-s/-th	zelfstandig naamwoord probleemgeval, uitgang -s/-th	N(probleem=true,form=-s/-th)	
093	NOU(type=other,inflection=t)	pos=N,feat.probleemgeval=true,feat.form=-t	zelfstandig naamwoord probleemgeval, uitgang -t	N(probleem=true,form=-t)	
094	NOU(type=other,inflection=n)	pos=N,feat.probleemgeval=true,feat.form=-n	zelfstandig naamwoord probleemgeval, uitgang -n	N(probleem=true,form=-n)	
095	NOU(type=other,inflection=r/re)	pos=N,feat.probleemgeval=true,feat.form=-r/-re	zelfstandig naamwoord probleemgeval, uitgang -r/-re	N(probleem=true,form=-r/-re)	
096	NOU(type=other,inflection=a)	pos=N,feat.probleemgeval=true,feat.form=-a	zelfstandig naamwoord probleemgeval, uitgang -a	N(probleem=true,form=-a)	
099	NOU(type=other,inflection=other)	pos=N,feat.probleemgeval=true,feat.form=unclear	zelfstandig naamwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	N(probleem=true,form=other)	
100	ADJ(number=sg,inflection=0)	pos=ADJ,feat.getal=ev	bijvoeglijk naamwoord enkelvoud, geen uitgang	ADJ(ev,form=0)	
101	ADJ(number=sg,inflection=e)	pos=ADJ,feat.getal=ev,feat.form=-e	bijvoeglijk naamwoord enkelvoud, uitgang -e	ADJ(ev,form=-e)	
102	ADJ(number=sg,inflection=s/th)	pos=ADJ,feat.getal=ev,feat.form=-s/-th	bijvoeglijk naamwoord enkelvoud, uitgang -s/-th	ADJ(ev,form=-s/-th)	
103	ADJ(number=sg,inflection=t)	pos=ADJ,feat.getal=ev,feat.form=-t	bijvoeglijk naamwoord enkelvoud, uitgang -t	ADJ(ev,form=-t)	
104	ADJ(number=sg,inflection=n)	pos=ADJ,feat.getal=ev,feat.form=-n	bijvoeglijk naamwoord enkelvoud, uitgang -n	ADJ(ev,form=-n)	
105	ADJ(number=sg,inflection=r/re)	pos=ADJ,feat.getal=ev,feat.form=-r/-re	bijvoeglijk naamwoord enkelvoud, uitgang -r/-re	ADJ(ev,form=-r/-re)	
106	ADJ(number=sg,inflection=a)	pos=ADJ,feat.getal=ev,feat.form=-a	bijvoeglijk naamwoord enkelvoud, uitgang -a	ADJ(ev,form=-a)	
109	ADJ(number=sg,inflection=other)	pos=ADJ,feat.getal=ev	bijvoeglijk naamwoord enkelvoud, uitgang latijn, onduidelijk of evident fout geschreven	ADJ(ev,form=other)	
110	ADJ(number=pl,inflection=0)	pos=ADJ,feat.getal=mv	bijvoeglijk naamwoord meervoud, geen uitgang	ADJ(mv,form=0)	
111	ADJ(number=pl,inflection=e)	pos=ADJ,feat.getal=mv,feat.form=-e	bijvoeglijk naamwoord meervoud, uitgang -e	ADJ(mv,form=-e)	
112	ADJ(number=pl,inflection=s/th)	pos=ADJ,feat.getal=mv,feat.form=-s/-th	bijvoeglijk naamwoord meervoud, uitgang -s/-th	ADJ(mv,form=-s/-th)	
113	ADJ(number=pl,inflection=t)	pos=ADJ,feat.getal=mv,feat.form=-t	bijvoeglijk naamwoord meervoud, uitgang -t	ADJ(mv,form=-t)	
114	ADJ(number=pl,inflection=n)	pos=ADJ,feat.getal=mv,feat.form=-n	bijvoeglijk naamwoord meervoud, uitgang -n	ADJ(mv,form=-n)	
115	ADJ(number=pl,inflection=r/re)	pos=ADJ,feat.getal=mv,feat.form=-r/-re	bijvoeglijk naamwoord meervoud, uitgang -r/-re	ADJ(mv,form=-r/-re)	
116	ADJ(number=pl,inflection=a)	pos=ADJ,feat.getal=mv,feat.form=-a	bijvoeglijk naamwoord meervoud, uitgang -a	ADJ(mv,form=-a)	
119	ADJ(number=pl,inflection=other)	pos=ADJ,feat.getal=mv	bijvoeglijk naamwoord meervoud, uitgang latijn, onduidelijk of evident fout geschreven	ADJ(mv,form=other)	
190	ADJ(number=other,inflection=0)	pos=ADJ,feat.probleemgeval=true	bijvoeglijk naamwoord probleemgeval, geen uitgang	ADJ(probleem=true,form=0)	
191	ADJ(number=other,inflection=e)	pos=ADJ,feat.probleemgeval=true,feat.form=-e	bijvoeglijk naamwoord probleemgeval, uitgang -e	ADJ(probleem=true,form=-e)	
192	ADJ(number=other,inflection=s/th)	pos=ADJ,feat.probleemgeval=true,feat.form=-s/-th	bijvoeglijk naamwoord probleemgeval, uitgang -s/-th	ADJ(probleem=true,form=-s/-th)	
193	ADJ(number=other,inflection=t)	pos=ADJ,feat.probleemgeval=true,feat.form=-t	bijvoeglijk naamwoord probleemgeval, uitgang -t	ADJ(probleem=true,form=-t)	
194	ADJ(number=other,inflection=n)	pos=ADJ,feat.probleemgeval=true,feat.form=-n	bijvoeglijk naamwoord probleemgeval, uitgang -n	ADJ(probleem=true,form=-n)	
195	ADJ(number=other,inflection=r/re)	pos=ADJ,feat.probleemgeval=true,feat.form=-r/-re	bijvoeglijk naamwoord probleemgeval, uitgang -r/-re	ADJ(probleem=true,form=-r/-re)	
196	ADJ(number=other,inflection=a)	pos=ADJ,feat.probleemgeval=true,feat.form=-a	bijvoeglijk naamwoord probleemgeval, uitgang -a	ADJ(probleem=true,form=-a)	
199	ADJ(number=other,inflection=other)	pos=ADJ,feat.probleemgeval=true	bijvoeglijk naamwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	ADJ(probleem=true,form=other)	
200	VRB(type=main,finiteness=finite,tense=present,inflection=0)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (zelfst.ww.), geen uitgang	WW(type=hoofd,pv,tgw,form=0)	
201	VRB(type=main,finiteness=finite,tense=present,inflection=e)	pos=WW,feat.pvtijd=tgw,feat.form=-e	persoonsvorm o.t.t. (zelfst.ww.), uitgang -e	WW(type=hoofd,pv,tgw,form=-e)	
202	VRB(type=main,finiteness=finite,tense=present,inflection=s/th)	pos=WW,feat.pvtijd=tgw,feat.form=-s/-th	persoonsvorm o.t.t. (zelfst.ww.), uitgang -s/-th	WW(type=hoofd,pv,tgw,form=-s/-th)	
203	VRB(type=main,finiteness=finite,tense=present,inflection=t)	pos=WW,feat.pvtijd=tgw,feat.form=-t	persoonsvorm o.t.t. (zelfst.ww.), uitgang -t	WW(type=hoofd,pv,tgw,form=-t)	
204	VRB(type=main,finiteness=finite,tense=present,inflection=n)	pos=WW,feat.pvtijd=tgw,feat.form=-n	persoonsvorm o.t.t. (zelfst.ww.), uitgang -n	WW(type=hoofd,pv,tgw,form=-n)	
205	VRB(type=main,finiteness=finite,tense=present,inflection=r/re)	pos=WW,feat.pvtijd=tgw,feat.form=-r/-re	persoonsvorm o.t.t. (zelfst.ww.), uitgang -r/-re	WW(type=hoofd,pv,tgw,form=-r/-re)	
206	VRB(type=main,finiteness=finite,tense=present,inflection=a)	pos=WW,feat.pvtijd=tgw,feat.form=-a	persoonsvorm o.t.t. (zelfst.ww.), uitgang -a	WW(type=hoofd,pv,tgw,form=-a)	
209	VRB(type=main,finiteness=finite,tense=present,inflection=other)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hoofd,pv,tgw,form=other)	
210	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=0)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (koppel-/hulpww.), geen uitgang	WW(type=hk,pv,tgw,form=0)	
211	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=e)	pos=WW,feat.pvtijd=tgw,feat.form=-e	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -e	WW(type=hk,pv,tgw,form=-e)	
212	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=s/th)	pos=WW,feat.pvtijd=tgw,feat.form=-s/-th	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -s/-th	WW(type=hk,pv,tgw,form=-s/-th)	
213	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=t)	pos=WW,feat.pvtijd=tgw,feat.form=-t	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -t	WW(type=hk,pv,tgw,form=-t)	
214	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=n)	pos=WW,feat.pvtijd=tgw,feat.form=-n	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -n	WW(type=hk,pv,tgw,form=-n)	
215	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=r/re)	pos=WW,feat.pvtijd=tgw,feat.form=-r/-re	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -r/-re	WW(type=hk,pv,tgw,form=-r/-re)	
216	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=a)	pos=WW,feat.pvtijd=tgw,feat.form=-a	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang -a	WW(type=hk,pv,tgw,form=-a)	
219	VRB(type=auxiliary,finiteness=finite,tense=present,inflection=other)	pos=WW,feat.pvtijd=tgw	persoonsvorm o.t.t. (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hk,form=other)	
220	VRB(type=main,finiteness=finite,tense=past,inflection=0)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (zelfst.ww.), geen uitgang	WW(type=hoofd,pv,verl,form=0)	
221	VRB(type=main,finiteness=finite,tense=past,inflection=e)	pos=WW,feat.pvtijd=verl,feat.form=-e	persoonsvorm o.v.t. (zelfst.ww.), uitgang -e	WW(type=hoofd,pv,verl,form=-e)	
222	VRB(type=main,finiteness=finite,tense=past,inflection=s/th)	pos=WW,feat.pvtijd=verl,feat.form=-s/-th	persoonsvorm o.v.t. (zelfst.ww.), uitgang -s/-th	WW(type=hoofd,pv,verl,form=-s/-th)	
223	VRB(type=main,finiteness=finite,tense=past,inflection=t)	pos=WW,feat.pvtijd=verl,feat.form=-t	persoonsvorm o.v.t. (zelfst.ww.), uitgang -t	WW(type=hoofd,pv,verl,form=-t)	
224	VRB(type=main,finiteness=finite,tense=past,inflection=n)	pos=WW,feat.pvtijd=verl,feat.form=-n	persoonsvorm o.v.t. (zelfst.ww.), uitgang -n	WW(type=hoofd,pv,verl,form=-n)	
225	VRB(type=main,finiteness=finite,tense=past,inflection=r/re)	pos=WW,feat.pvtijd=verl,feat.form=-r/-re	persoonsvorm o.v.t. (zelfst.ww.), uitgang -r/-re	WW(type=hoofd,pv,verl,form=-r/-re)	
226	VRB(type=main,finiteness=finite,tense=past,inflection=a)	pos=WW,feat.pvtijd=verl,feat.form=-a	persoonsvorm o.v.t. (zelfst.ww.), uitgang -a	WW(type=hoofd,pv,verl,form=-a)	
229	VRB(type=main,finiteness=finite,tense=past,inflection=other)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hoofd,pv,verl,form=other)	
230	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=0)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (koppel-/hulpww.), geen uitgang	WW(type=hk,pv,verl,form=0)	
231	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=e)	pos=WW,feat.pvtijd=verl,feat.form=-e	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -e	WW(type=hk,pv,verl,form=-e)	
232	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=s/th)	pos=WW,feat.pvtijd=verl,feat.form=-s/-th	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -s/-th	WW(type=hk,pv,verl,form=-s/-th)	
233	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=t)	pos=WW,feat.pvtijd=verl,feat.form=-t	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -t	WW(type=hk,pv,verl,form=-t)	
234	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=n)	pos=WW,feat.pvtijd=verl,feat.form=-n	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -n	WW(type=hk,pv,verl,form=-n)	
235	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=r/re)	pos=WW,feat.pvtijd=verl,feat.form=-r/-re	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -r/-re	WW(type=hk,pv,verl,form=-r/-re)	
236	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=a)	pos=WW,feat.pvtijd=verl,feat.form=-a	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang -a	WW(type=hk,pv,verl,form=-a)	
239	VRB(type=auxiliary,finiteness=finite,tense=past,inflection=other)	pos=WW,feat.pvtijd=verl	persoonsvorm o.v.t. (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hk,pv,verl,form=other)	
240	VRB(type=-,finiteness=finite,mood=imperative,inflection=0)	pos=WW	imperatief, geen uitgang	WW(pv,imper,form=0)	
241	VRB(type=-,finiteness=finite,mood=imperative,inflection=e)	pos=WW,feat.form=-e	imperatief, uitgang -e	WW(pv,imper,form=-e)	
242	VRB(type=-,finiteness=finite,mood=imperative,inflection=s/th)	pos=WW,feat.form=-s/-th	imperatief, uitgang -s/-th	WW(pv,imper,form=-s/-th)	
243	VRB(type=-,finiteness=finite,mood=imperative,inflection=t)	pos=WW,feat.form=-t	imperatief, uitgang -t	WW(pv,imper,form=-t)	
244	VRB(type=-,finiteness=finite,mood=imperative,inflection=n)	pos=WW,feat.form=-n	imperatief, uitgang -n	WW(pv,imper,form=-n)	
245	VRB(type=-,finiteness=finite,mood=imperative,inflection=r/re)	pos=WW,feat.form=-r/-re	imperatief, uitgang -r/-re	WW(pv,imper,form=-r/-re)	
246	VRB(type=-,finiteness=finite,mood=imperative,inflection=a)	pos=WW,feat.form=-a	imperatief, uitgang -a	WW(pv,imper,form=-a)	
249	VRB(type=-,finiteness=finite,mood=imperative,inflection=other)	pos=WW	imperatief, uitgang latijn, onduidelijk of evident fout geschreven	WW(pv,imper,form=other)	
250	VRB(type=main,finiteness=finite,inflection=0)	pos=WW,feat.wvorm=inf	infinitief (zelfst.ww.), geen uitgang	WW(type=hoofd,inf,form=0)	waar is pb afkorting van? Jesses voorstel  heb ik aangepast
251	VRB(type=main,finiteness=finite,inflection=e)	pos=WW,feat.wvorm=inf,feat.form=-e	infinitief (zelfst.ww.), uitgang -e	WW(type=hoofd,inf,form=-e)	
252	VRB(type=main,finiteness=finite,inflection=s/th)	pos=WW,feat.wvorm=inf,feat.form=-s/-th	infinitief (zelfst.ww.), uitgang -s/-th	WW(type=hoofd,inf,form=-s/-th)	
253	VRB(type=main,finiteness=finite,inflection=t)	pos=WW,feat.wvorm=inf,feat.form=-t	infinitief (zelfst.ww.), uitgang -t	WW(type=hoofd,inf,form=-t)	
254	VRB(type=main,finiteness=finite,inflection=n)	pos=WW,feat.wvorm=inf,feat.form=-n	infinitief (zelfst.ww.), uitgang -n	WW(type=hoofd,inf,form=-n)	
255	VRB(type=main,finiteness=finite,inflection=r/re)	pos=WW,feat.wvorm=inf,feat.form=-r/-re	infinitief (zelfst.ww.), uitgang -r/-re	WW(type=hoofd,inf,form=-r/-re)	
256	VRB(type=main,finiteness=finite,inflection=a)	pos=WW,feat.wvorm=inf,feat.form=-a	infinitief (zelfst.ww.), uitgang -a	WW(type=hoofd,inf,form=-a)	
259	VRB(type=main,finiteness=finite,inflection=other)	pos=WW,feat.wvorm=inf	infinitief (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hoofd,inf,form=other)	
260	VRB(type=auxiliary,finiteness=inf/ger,inflection=0)	pos=WW,feat.wvorm=inf	infinitief (koppel-/hulpww.), geen uitgang	WW(type=hk,inf,form=0)	
261	VRB(type=auxiliary,finiteness=inf/ger,inflection=e)	pos=WW,feat.wvorm=inf,feat.form=-e	infinitief (koppel-/hulpww.), uitgang -e	WW(type=hk,inf,form=-e)	
262	VRB(type=auxiliary,finiteness=inf/ger,inflection=s/th)	pos=WW,feat.wvorm=inf,feat.form=-s/-th	infinitief (koppel-/hulpww.), uitgang -s/-th	WW(type=hk,inf,form=-s/-th)	
263	VRB(type=auxiliary,finiteness=inf/ger,inflection=t)	pos=WW,feat.wvorm=inf,feat.form=-t	infinitief (koppel-/hulpww.), uitgang -t	WW(type=hk,inf,form=-t)	
264	VRB(type=auxiliary,finiteness=inf/ger,inflection=n)	pos=WW,feat.wvorm=inf,feat.form=-n	infinitief (koppel-/hulpww.), uitgang -n	WW(type=hk,inf,form=-n)	
265	VRB(type=auxiliary,finiteness=inf/ger,inflection=r/re)	pos=WW,feat.wvorm=inf,feat.form=-r/-re	infinitief (koppel-/hulpww.), uitgang -r/-re	WW(type=hk,inf,form=-r/-re)	
266	VRB(type=auxiliary,finiteness=inf/ger,inflection=a)	pos=WW,feat.wvorm=inf,feat.form=-a	infinitief (koppel-/hulpww.), uitgang -a	WW(type=hk,inf,form=-a)	
269	VRB(type=auxiliary,finiteness=inf/ger,inflection=other)	pos=WW,feat.wvorm=inf	infinitief (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hk,inf,form=other)	
270	VRB(type=main,finiteness=part,inflection=0)	pos=WW	deelwoord (zelfst.ww.), geen uitgang	WW(type=hoofd,part,form=0)	
271	VRB(type=main,finiteness=part,inflection=e)	pos=WW,feat.form=-e	deelwoord (zelfst.ww.), uitgang -e	WW(type=hoofd,part,form=-e)	
272	VRB(type=main,finiteness=part,inflection=s/th)	pos=WW,feat.form=-s/-th	deelwoord (zelfst.ww.), uitgang -s/-th	WW(type=hoofd,part,form=-s/-th)	
273	VRB(type=main,finiteness=part,inflection=t)	pos=WW,feat.form=-t	deelwoord (zelfst.ww.), uitgang -t	WW(type=hoofd,part,form=-t)	
274	VRB(type=main,finiteness=part,inflection=n)	pos=WW,feat.form=-n	deelwoord (zelfst.ww.), uitgang -n	WW(type=hoofd,part,form=-n)	
275	VRB(type=main,finiteness=part,inflection=r/re)	pos=WW,feat.form=-r/-re	deelwoord (zelfst.ww.), uitgang -r/-re	WW(type=hoofd,part,form=-r/-re)	
276	VRB(type=main,finiteness=part,inflection=a)	pos=WW,feat.form=-a	deelwoord (zelfst.ww.), uitgang -a	WW(type=hoofd,part,form=-a)	
279	VRB(type=main,finiteness=part,inflection=other)	pos=WW	deelwoord (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hoofd,part,form=other)	
280	VRB(type=auxiliary,finiteness=part,inflection=0)	pos=WW	deelwoord (koppel-/hulpww.), geen uitgang	WW(type=hk,part,form=0)	
281	VRB(type=auxiliary,finiteness=part,inflection=e)	pos=WW,feat.form=-e	deelwoord (koppel-/hulpww.), uitgang -e	WW(type=hk,part,form=-e)	
282	VRB(type=auxiliary,finiteness=part,inflection=s/th)	pos=WW,feat.form=-s/-th	deelwoord (koppel-/hulpww.), uitgang -s/-th	WW(type=hk,part,form=-s/-th)	
283	VRB(type=auxiliary,finiteness=part,inflection=t)	pos=WW,feat.form=-t	deelwoord (koppel-/hulpww.), uitgang -t	WW(type=hk,part,form=-t)	
284	VRB(type=auxiliary,finiteness=part,inflection=n)	pos=WW,feat.form=-n	deelwoord (koppel-/hulpww.), uitgang -n	WW(type=hk,part,form=-n)	
285	VRB(type=auxiliary,finiteness=part,inflection=r/re)	pos=WW,feat.form=-r/-re	deelwoord (koppel-/hulpww.), uitgang -r/-re	WW(type=hk,part,form=-r/-re)	
286	VRB(type=auxiliary,finiteness=part,inflection=a)	pos=WW,feat.form=-a	deelwoord (koppel-/hulpww.), uitgang -a	WW(type=hk,part,form=-a)	
289	VRB(type=auxiliary,finiteness=part,inflection=other)	pos=WW	deelwoord (koppel-/hulpww.), uitgang latijn, onduidelijk of evident fout geschreven	WW(type=hk,part,form=other)	
290	VRB(type=other,inflection=0)	pos=WW,feat.probleemgeval=true	werkwoord probleemgeval, geen uitgang	WW(probleem=true,form=0)	
291	VRB(type=other,inflection=e)	pos=WW,feat.probleemgeval=true,feat.form=-e	werkwoord probleemgeval, uitgang -e	WW(probleem=true,form=-e)	
292	VRB(type=other,inflection=s/th)	pos=WW,feat.probleemgeval=true,feat.form=-s/-th	werkwoord probleemgeval, uitgang -s/-th	WW(probleem=true,form=-s/-th)	
293	VRB(type=other,inflection=t)	pos=WW,feat.probleemgeval=true,feat.form=-t	werkwoord probleemgeval, uitgang -t	WW(probleem=true,form=-t)	
294	VRB(type=other,inflection=n)	pos=WW,feat.probleemgeval=true,feat.form=-n	werkwoord probleemgeval, uitgang -n	WW(probleem=true,form=-n)	
295	VRB(type=other,inflection=r/re)	pos=WW,feat.probleemgeval=true,feat.form=-r/-re	werkwoord probleemgeval, uitgang -r/-re	WW(probleem=true,form=-r/-re)	
296	VRB(type=other,inflection=a)	pos=WW,feat.probleemgeval=true,feat.form=-a	werkwoord probleemgeval, uitgang -a	WW(probleem=true,form=-a)	
299	VRB(type=other,inflection=other)	pos=WW,feat.probleemgeval=true	werkwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	WW(probleem=true,form=other)	
300	NUM(type=cardinal,inflection=0)	pos=TW,feat.numtype=hoofd	hoofdtelwoord, geen uitgang	TW(hoofd,form=0)	
301	NUM(type=cardinal,inflection=e)	pos=TW,feat.numtype=hoofd,feat.form=-e	hoofdtelwoord, uitgang -e	TW(hoofd,form=-e)	
302	NUM(type=cardinal,inflection=s/th)	pos=TW,feat.numtype=hoofd,feat.form=-s/-th	hoofdtelwoord, uitgang -s/-th	TW(hoofd,form=-s/-th)	
303	NUM(type=cardinal,inflection=t)	pos=TW,feat.numtype=hoofd,feat.form=-t	hoofdtelwoord, uitgang -t	TW(hoofd,form=-t)	
304	NUM(type=cardinal,inflection=n)	pos=TW,feat.numtype=hoofd,feat.form=-n	hoofdtelwoord, uitgang -n	TW(hoofd,form=-n)	
