code	Gysseling online tag	Vertaling Meertens voor CRM	Verklaring uit database		
604	ADV(advType=pronominal,type=general,inflection=n)	pos=BW,feat.form=-n	voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,alg,form=-n)	
605	ADV(advType=pronominal,type=general,inflection=r/re)	pos=BW,feat.form=-r/-re	voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,alg,form=-r/-re)	
606	ADV(advType=pronominal,type=general,inflection=a)	pos=BW,feat.form=-a	voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,alg,form=-a)	
609	ADV(advType=pronominal,type=general,inflection=other)	pos=BW	voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,alg,form=other)	
610	ADV(advType=pronominal,type=dem,inflection=0)	pos=BW	aanwijzend voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,aanw,form=0)	
611	ADV(advType=pronominal,type=dem,inflection=e)	pos=BW,feat.form=-e	aanwijzend voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,aanw,form=-e)	
612	ADV(advType=pronominal,type=dem,inflection=s/th)	pos=BW,feat.form=-s/-th	aanwijzend voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,aanw,form=-s/-th)	
613	ADV(advType=pronominal,type=dem,inflection=t)	pos=BW,feat.form=-t	aanwijzend voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,aanw,form=-t)	
614	ADV(advType=pronominal,type=dem,inflection=n)	pos=BW,feat.form=-n	aanwijzend voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,aanw,form=-n)	
615	ADV(advType=pronominal,type=dem,inflection=r/re)	pos=BW,feat.form=-r/-re	aanwijzend voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,aanw,form=-r/-re)	
616	ADV(advType=pronominal,type=dem,inflection=a)	pos=BW,feat.form=-a	aanwijzend voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,aanw,form=-a)	
619	ADV(advType=pronominal,type=dem,inflection=other)	pos=BW	aanwijzend voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,aanw,form=other)	
620	ADV(advType=pronominal,type=rel,inflection=0)	pos=BW	betrekkelijk voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,betr,form=0)	
621	ADV(advType=pronominal,type=rel,inflection=e)	pos=BW,feat.form=-e	betrekkelijk voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,betr,form=-e)	
622	ADV(advType=pronominal,type=rel,inflection=s/th)	pos=BW,feat.form=-s/-th	betrekkelijk voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,betr,form=-s/-th)	
623	ADV(advType=pronominal,type=rel,inflection=t)	pos=BW,feat.form=-t	betrekkelijk voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,betr,form=-t)	
624	ADV(advType=pronominal,type=rel,inflection=n)	pos=BW,feat.form=-n	betrekkelijk voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,betr,form=-n)	
625	ADV(advType=pronominal,type=rel,inflection=r/re)	pos=BW,feat.form=-r/-re	betrekkelijk voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,betr,form=-r/-re)	
626	ADV(advType=pronominal,type=rel,inflection=a)	pos=BW,feat.form=-a	betrekkelijk voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,betr,form=-a)	
629	ADV(advType=pronominal,type=rel,inflection=other)	pos=BW	betrekkelijk voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,betr,form=other)
630	ADV(advType=pronominal,type=int,inflection=0)	pos=BW	vragend voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,vb,form=0)	
631	ADV(advType=pronominal,type=int,inflection=e)	pos=BW,feat.form=-e	vragend voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,vb,form=-e)	
632	ADV(advType=pronominal,type=int,inflection=s/th)	pos=BW,feat.form=-s/-th	vragend voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,vb,form=-s/-th)	
633	ADV(advType=pronominal,type=int,inflection=t)	pos=BW,feat.form=-t	vragend voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,vb,form=-t)	
634	ADV(advType=pronominal,type=int,inflection=n)	pos=BW,feat.form=-n	vragend voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,vb,form=-e)	
635	ADV(advType=pronominal,type=int,inflection=r/re)	pos=BW,feat.form=-r/-re	vragend voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,vb,form=-n)	
636	ADV(advType=pronominal,type=int,inflection=a)	pos=BW,feat.form=-a	vragend voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,vb,form=-a)	
639	ADV(advType=pronominal,type=int,inflection=other)	pos=BW	vragend voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,vb,form=other)	
640	ADV(advType=pronominal,type=indef,inflection=0)	pos=BW	onbepaald voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,onbep,form=0)	
641	ADV(advType=pronominal,type=indef,inflection=e)	pos=BW,feat.form=-e	onbepaald voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,onbep,form=-e)	
642	ADV(advType=pronominal,type=indef,inflection=s/th)	pos=BW,feat.form=-s/-th	onbepaald voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,onbep,form=-s/-th)	
643	ADV(advType=pronominal,type=indef,inflection=t)	pos=BW,feat.form=-t	onbepaald voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,onbep,form=-t)	
644	ADV(advType=pronominal,type=indef,inflection=n)	pos=BW,feat.form=-n	onbepaald voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,onbep,form=-n)	
645	ADV(advType=pronominal,type=indef,inflection=r/re)	pos=BW,feat.form=-r/-re	onbepaald voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,onbep,form=-r/-re)	
646	ADV(advType=pronominal,type=indef,inflection=a)	pos=BW,feat.form=-a	onbepaald voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,onbep,form=-a)	
649	ADV(advType=pronominal,type=indef,inflection=other)	pos=BW	onbepaald voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,onbep,form=other)	
650	ADV(advType=pronominal,type=elliptic,inflection=0)	pos=BW	bijwoordelijk deel van voornaamwoordelijk bijwoord, geen uitgang	BW(adv-pron,ellips,form=0)	
651	ADV(advType=pronominal,type=elliptic,inflection=e)	pos=BW,feat.form=-e	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -e	BW(adv-pron,ellips,form=-e)	
652	ADV(advType=pronominal,type=elliptic,inflection=s/th)	pos=BW,feat.form=-s/-th	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -s/-th	BW(adv-pron,ellips,form=-s/-th)	
653	ADV(advType=pronominal,type=elliptic,inflection=t)	pos=BW,feat.form=-t	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -t	BW(adv-pron,ellips,form=-t)	
654	ADV(advType=pronominal,type=elliptic,inflection=n)	pos=BW,feat.form=-n	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -n	BW(adv-pron,ellips,form=-e)	
655	ADV(advType=pronominal,type=elliptic,inflection=r/re)	pos=BW,feat.form=-r/-re	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -r/-re	BW(adv-pron,ellips,form=-n)	
656	ADV(advType=pronominal,type=elliptic,inflection=a)	pos=BW,feat.form=-a	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang -a	BW(adv-pron,ellips,form=-a)	
659		pos=BW	bijwoordelijk deel van voornaamwoordelijk bijwoord, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,ellips,form=other)	
690	ADV(advType=pronominal,type=other,inflection=0)	pos=BW,feat.probleemgeval=true	voornaamwoordelijk bijwoord probleemgeval, geen uitgang	BW(adv-pron,probleem=true,form=0)	
691	ADV(advType=pronominal,type=other,inflection=e)	pos=BW,feat.probleemgeval=true,feat.form=-e	voornaamwoordelijk bijwoord probleemgeval, uitgang -e	BW(adv-pron,probleem=true,form=-e)	
692	ADV(advType=pronominal,type=other,inflection=s/th)	pos=BW,feat.probleemgeval=true,feat.form=-s/-th	voornaamwoordelijk bijwoord probleemgeval, uitgang -s/-th	BW(adv-pron,probleem=true,form=-s/-th)	
693	ADV(advType=pronominal,type=other,inflection=t)	pos=BW,feat.probleemgeval=true,feat.form=-t	voornaamwoordelijk bijwoord probleemgeval, uitgang -t	BW(adv-pron,probleem=true,form=-t)	
694	ADV(advType=pronominal,type=other,inflection=n)	pos=BW,feat.probleemgeval=true,feat.form=-n	voornaamwoordelijk bijwoord probleemgeval, uitgang -n	BW(adv-pron,probleem=true,form=-n)	
695	ADV(advType=pronominal,type=other,inflection=r/re)	pos=BW,feat.probleemgeval=true,feat.form=-r/-re	voornaamwoordelijk bijwoord probleemgeval, uitgang -r/-re	BW(adv-pron,probleem=true,form=-r/-re)	
696	ADV(advType=pronominal,type=other,inflection=a)	pos=BW,feat.probleemgeval=true,feat.form=-a	voornaamwoordelijk bijwoord probleemgeval, uitgang -a	BW(adv-pron,probleem=true,form=-a)	
699	ADV(advType=pronominal,type=other,inflection=other)	pos=BW,feat.probleemgeval=true	voornaamwoordelijk bijwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	BW(adv-pron,probleem=true,form=other)	
700	ADP(type=general,inflection=0)	pos=VZ	voorzetsel, geen uitgang	VZ(form=0)	
701	ADP(type=general,inflection=e)	pos=VZ,feat.form=-e	voorzetsel, uitgang -e	VZ(form=-e)	
702	ADP(type=general,inflection=s/th)	pos=VZ,feat.form=-s/-th	voorzetsel, uitgang -s/-th	VZ(form=-s/-th)	
703	ADP(type=general,inflection=t)	pos=VZ,feat.form=-t	voorzetsel, uitgang -t	VZ(form=-t)	
704	ADP(type=general,inflection=n)	pos=VZ,feat.form=-n	voorzetsel, uitgang -n	VZ(form=-n)	
705	ADP(type=general,inflection=r/re)	pos=VZ,feat.form=-r/-re	voorzetsel, uitgang -r/-re	VZ(form=-r/-re)	
706	ADP(type=general,inflection=a)	pos=VZ,feat.form=-a	voorzetsel, uitgang -a	VZ(form=-a)	
709	ADP(type=general,inflection=other)	pos=VZ	voorzetsel, uitgang latijn, onduidelijk of evident fout geschreven	VZ(form=other)	
790	ADP(type=other,inflection=0)	pos=VZ	voorzetsel (probleemgeval), geen uitgang	VZ(probleem=true,form=0)	
791	ADP(type=other,inflection=e)	pos=VZ,feat.form=-e	voorzetsel (probleemgeval), uitgang -e	VZ(probleem=true,form=-e)	
792	ADP(type=other,inflection=s/th)	pos=VZ,feat.form=-s/-th	voorzetsel (probleemgeval), uitgang -s/-th	VZ(probleem=true,form=-s/-th)	
793	ADP(type=other,inflection=t)	pos=VZ,feat.form=-t	voorzetsel (probleemgeval), uitgang -t	VZ(probleem=true,form=-t)	
794	ADP(type=other,inflection=n)	pos=VZ,feat.form=-n	voorzetsel (probleemgeval), uitgang -n	VZ(probleem=true,form=-n)	
795	ADP(type=other,inflection=r/re)	pos=VZ,feat.form=-r/-re	voorzetsel (probleemgeval), uitgang -r/-re	VZ(probleem=true,form=-r/-re)	
796	ADP(type=other,inflection=a)	pos=VZ,feat.form=-a	voorzetsel (probleemgeval), uitgang -a	VZ(probleem=true,form=-a)	
799	ADP(type=other,inflection=other)	pos=VZ	voorzetsel (probleemgeval), uitgang latijn, onduidelijk of evident fout geschreven	VZ(probleem=true,form=other)	
800	CON(type=coordinating,inflection=0)	pos=VG	nevenschikkend voegwoord, geen uitgang	VG(neven,form=0)	
801	CON(type=coordinating,inflection=e)	pos=VG,feat.form=-e	nevenschikkend voegwoord, uitgang -e	VG(neven,form=-e)	
802	CON(type=coordinating,inflection=s/th)	pos=VG,feat.form=-s/-th	nevenschikkend voegwoord, uitgang -s/-th	VG(neven,form=-s/-th)	
803	CON(type=coordinating,inflection=t)	pos=VG,feat.form=-t	nevenschikkend voegwoord, uitgang -t	VG(neven,form=-t)	
804	CON(type=coordinating,inflection=n)	pos=VG,feat.form=-n	nevenschikkend voegwoord, uitgang -n	VG(neven,form=-n)	
805	CON(type=coordinating,inflection=r/re)	pos=VG,feat.form=-r/-re	nevenschikkend voegwoord, uitgang -r/-re	VG(neven,form=-r/-re)	
806	CON(type=coordinating,inflection=a)	pos=VG,feat.form=-a	nevenschikkend voegwoord, uitgang -a	VG(neven,form=-a)	
809	CON(type=coordinating,inflection=other)	pos=VG	nevenschikkend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven	VG(neven,form=other)	
810	CON(type=subordinating,inflection=0)	pos=VG	onderschikkend voegwoord, geen uitgang	VG(onder,form=0)	
811	CON(type=subordinating,inflection=e)	pos=VG,feat.form=-e	onderschikkend voegwoord, uitgang -e	VG(onder,form=-e)	
812	CON(type=subordinating,inflection=s/th)	pos=VG,feat.form=-s/-th	onderschikkend voegwoord, uitgang -s/-th	VG(onder,form=-s/-th)	
813	CON(type=subordinating,inflection=t)	pos=VG,feat.form=-t	onderschikkend voegwoord, uitgang -t	VG(onder,form=-t)	
814	CON(type=subordinating,inflection=n)	pos=VG,feat.form=-n	onderschikkend voegwoord, uitgang -n	VG(onder,form=-n)	
815	CON(type=subordinating,inflection=r/re)	pos=VG,feat.form=-r/-re	onderschikkend voegwoord, uitgang -r/-re	VG(onder,form=-r/-re)	
816	CON(type=subordinating,inflection=a)	pos=VG,feat.form=-a	onderschikkend voegwoord, uitgang -a	VG(onder,form=-a)	
819	CON(type=subordinating,inflection=other)	pos=VG	onderschikkend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven	VG(onder,form=other)	
820	CON(type=comparison,inflection=0)	pos=VG	vergelijkend voegwoord, geen uitgang	VG(type=verg,form=0)	
821	CON(type=comparison,inflection=e)	pos=VG,feat.form=-e	vergelijkend voegwoord, uitgang -e	VG(type=verg,form=-e)	
822	CON(type=comparison,inflection=s/th)	pos=VG,feat.form=-s/-th	vergelijkend voegwoord, uitgang -s/-th	VG(type=verg,form=-s/-th)	
823	CON(type=comparison,inflection=t)	pos=VG,feat.form=-t	vergelijkend voegwoord, uitgang -t	VG(type=verg,form=-t)	
824	CON(type=comparison,inflection=n)	pos=VG,feat.form=-n	vergelijkend voegwoord, uitgang -n	VG(type=verg,form=-n)	
825	CON(type=comparison,inflection=r/re)	pos=VG,feat.form=-r/-re	vergelijkend voegwoord, uitgang -r/-re	VG(type=verg,form=-r/-re)	
826	CON(type=comparison,inflection=a)	pos=VG,feat.form=-a	vergelijkend voegwoord, uitgang -a	VG(type=verg,form=-a)	
829	CON(type=comparison,inflection=other)	pos=VG	vergelijkend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven	VG(type=verg,form=other)	
830	CON(type=negative,inflection=0)	pos=VG	ontkennend voegwoord, geen uitgang	VG(neg,form=0)	
831	CON(type=negative,inflection=e)	pos=VG,feat.form=-e	ontkennend voegwoord, uitgang -e	VG(neg,form=-e)	
832	CON(type=negative,inflection=s/th)	pos=VG,feat.form=-s/-th	ontkennend voegwoord, uitgang -s/-th	VG(neg,form=-s/-th)	
833	CON(type=negative,inflection=t)	pos=VG,feat.form=-t	ontkennend voegwoord, uitgang -t	VG(neg,form=-t)	
834	CON(type=negative,inflection=n)	pos=VG,feat.form=-n	ontkennend voegwoord, uitgang -n	VG(neg,form=-n)	
835	CON(type=negative,inflection=r/re)	pos=VG,feat.form=-r/-re	ontkennend voegwoord, uitgang -r/-re	VG(neg,form=-r/-re)	
836	CON(type=negative,inflection=a)	pos=VG,feat.form=-a	ontkennend voegwoord, uitgang -a	VG(neg,form=-a)	
839	CON(type=negative,inflection=other)	pos=VG	ontkennend voegwoord, uitgang latijn, onduidelijk of evident fout geschreven	VG(neg,form=other)	
840	CON(type=explicative,inflection=0)	pos=VG	explicatief voegwoord, geen uitgang	VG(expl,form=0)	
841	CON(type=explicative,inflection=e)	pos=VG,feat.form=-e	explicatief voegwoord, uitgang -e	VG(expl,form=-e)	
842	CON(type=explicative,inflection=s/th)	pos=VG,feat.form=-s/-th	explicatief voegwoord, uitgang -s/-th	VG(expl,form=-s/-th)	
843	CON(type=explicative,inflection=t)	pos=VG,feat.form=-t	explicatief voegwoord, uitgang -t	VG(expl,form=-t)	
844	CON(type=explicative,inflection=n)	pos=VG,feat.form=-n	explicatief voegwoord, uitgang -n	VG(expl,form=-n)	
845	CON(type=explicative,inflection=r/re)	pos=VG,feat.form=-r/-re	explicatief voegwoord, uitgang -r/-re	VG(expl,form=-r/-re)	
846	CON(type=explicative,inflection=a)	pos=VG,feat.form=-a	explicatief voegwoord, uitgang -a	VG(expl,form=-a)	
849	CON(type=explicative,inflection=other)	pos=VG	explicatief voegwoord, uitgang latijn, onduidelijk of evident fout geschreven	VG(expl,form=other)	
850	CON(type=rel,inflection=0)	pos=VG	relatief voegwoord, geen uitgang	VG(betr,form=0)	
851	CON(type=rel,inflection=e)	pos=VG,feat.form=-e	relatief voegwoord, uitgang -e	VG(betr,form=-e)	
852	CON(type=rel,inflection=s/th)	pos=VG,feat.form=-s/-th	relatief voegwoord, uitgang -s/-th	VG(betr,form=-s/-th)	
853	CON(type=rel,inflection=t)	pos=VG,feat.form=-t	relatief voegwoord, uitgang -t	VG(betr,form=-t)	
854	CON(type=rel,inflection=n)	pos=VG,feat.form=-n	relatief voegwoord, uitgang -n	VG(betr,form=-n)	
855	CON(type=rel,inflection=r/re)	pos=VG,feat.form=-r/-re	relatief voegwoord, uitgang -r/-re	VG(betr,form=-r/-re)	
856	CON(type=rel,inflection=a)	pos=VG,feat.form=-a	relatief voegwoord, uitgang -a	VG(betr,form=-a)	
859	CON(type=rel,inflection=other)	pos=VG	relatief voegwoord, uitgang latijn, onduidelijk of evident fout geschreven	VG(betr,form=other)	
860	CON(type=quality,inflection=0)	pos=VG	voegwoord van hoedanigheid, geen uitgang	VG(type=quality,form=0)	
861	CON(type=quality,inflection=e)	pos=VG,feat.form=-e	voegwoord van hoedanigheid, uitgang -e	VG(type=quality,form=-e)	
862	CON(type=quality,inflection=s/th)	pos=VG,feat.form=-s/-th	voegwoord van hoedanigheid, uitgang -s/-th	VG(type=quality,form=-s/-th)	
863	CON(type=quality,inflection=t)	pos=VG,feat.form=-t	voegwoord van hoedanigheid, uitgang -t	VG(type=quality,form=-t)	
864	CON(type=quality,inflection=n)	pos=VG,feat.form=-n	voegwoord van hoedanigheid, uitgang -n	VG(type=quality,form=-n)	
865	CON(type=quality,inflection=r/re)	pos=VG,feat.form=-r/-re	voegwoord van hoedanigheid, uitgang -r/-re	VG(type=quality,form=-r/-re)	
866	CON(type=quality,inflection=a)	pos=VG,feat.form=-a	voegwoord van hoedanigheid, uitgang -a	VG(type=quality,form=-a)	
869	CON(type=quality,inflection=other)	pos=VG	voegwoord van hoedanigheid, uitgang latijn, onduidelijk of evident fout geschreven	VG(type=quality,form=other)	
870	CON(type=subordinating,inflection=0)	pos=VG	alse + te + infinitief, geen uitgang	VG(onder,form=0)	
871	CON(type=subordinating,inflection=e)	pos=VG,feat.form=-e	alse + te + infinitief, uitgang -e	VG(onder,form=-e)	
872	CON(type=subordinating,inflection=s/th)	pos=VG,feat.form=-s/-th	alse + te + infinitief, uitgang -s/-th	VG(onder,form=-s/-th)	
873	CON(type=subordinating,inflection=t)	pos=VG,feat.form=-t	alse + te + infinitief, uitgang -t	VG(onder,form=-t)	
874	CON(type=subordinating,inflection=n)	pos=VG,feat.form=-n	alse + te + infinitief, uitgang -n	VG(onder,form=-n)	
875	CON(type=subordinating,inflection=r/re)	pos=VG,feat.form=-r/-re	alse + te + infinitief, uitgang -r/-re	VG(onder,form=-r/-re)	
876	CON(type=subordinating,inflection=a)	pos=VG,feat.form=-a	alse + te + infinitief, uitgang -a	VG(onder,form=-a)	
879	CON(type=subordinating,inflection=other)	pos=VG	alse + te + infinitief, uitgang latijn, onduidelijk of evident fout geschreven	VG(onder,form=other)	
890	CON(type=other,inflection=0)	pos=VG,feat.probleemgeval=true	voegwoord probleemgeval, geen uitgang	VG(probleem=true,form=0)	
891	CON(type=other,inflection=e)	pos=VG,feat.probleemgeval=true,feat.form=-e	voegwoord probleemgeval, uitgang -e	VG(probleem=true,form=-e)	
892	CON(type=other,inflection=s/th)	pos=VG,feat.probleemgeval=true,feat.form=-s/-th	voegwoord probleemgeval, uitgang -s/-th	VG(probleem=true,form=-s/-th)	
893	CON(type=other,inflection=t)	pos=VG,feat.probleemgeval=true,feat.form=-t	voegwoord probleemgeval, uitgang -t	VG(probleem=true,form=-t)	
894	CON(type=other,inflection=n)	pos=VG,feat.probleemgeval=true,feat.form=-n	voegwoord probleemgeval, uitgang -n	VG(probleem=true,form=-n)	
895	CON(type=other,inflection=r/re)	pos=VG,feat.probleemgeval=true,feat.form=-r/-re	voegwoord probleemgeval, uitgang -r/-re	VG(probleem=true,form=-r/-re)	
896	CON(type=other,inflection=a)	pos=VG,feat.probleemgeval=true,feat.form=-a	voegwoord probleemgeval, uitgang -a	VG(probleem=true,form=-a)	
899	CON(type=other,inflection=other)	pos=VG,feat.probleemgeval=true	voegwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	VG(probleem=true,form=other)	
900	RES(type=other,inflection=0)	feat.probleemgeval=true	woordsoort probleemgeval, geen uitgang	SPEC(probleem=true,form=0)	
901	RES(type=other,inflection=e)	feat.probleemgeval=true,feat.form=-e	woordsoort probleemgeval, uitgang -e	SPEC(probleem=true,form=-e)	
902	RES(type=other,inflection=s/th)	feat.probleemgeval=true,feat.form=-s/-th	woordsoort probleemgeval, uitgang -s/-th	SPEC(probleem=true,form=-s/-th)	
903	RES(type=other,inflection=t)	feat.probleemgeval=true,feat.form=-t	woordsoort probleemgeval, uitgang -t	SPEC(probleem=true,form=-t)	
904	RES(type=other,inflection=n)	feat.probleemgeval=true,feat.form=-n	woordsoort probleemgeval, uitgang -n	SPEC(probleem=true,form=-n)	
905	RES(type=other,inflection=r/re)	feat.probleemgeval=true,feat.form=-r/-re	woordsoort probleemgeval, uitgang -r/-re	SPEC(probleem=true,form=-r/-re)	
906	RES(type=other,inflection=a)	feat.probleemgeval=true,feat.form=-a	woordsoort probleemgeval, uitgang -a	SPEC(probleem=true,form=-a)	
909	RES(type=other,inflection=other)	feat.probleemgeval=true	woordsoort probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	SPEC(probleem=true,form=other)	
910	INT(type=interjection,inflection=0)	_	tussenwerpsel, geen uitgang	TSW(form=0)	
911	INT(type=interjection,inflection=e)	feat.form=-e	tussenwerpsel, uitgang -e	TSW(form=-e)	
912	INT(type=interjection,inflection=s/th)	feat.form=-s/-th	tussenwerpsel, uitgang -s/-th	TSW(form=-s/-th)	
913	INT(type=interjection,inflection=t)	feat.form=-t	tussenwerpsel, uitgang -t	TSW(form=-t)	
914	INT(type=interjection,inflection=n)	feat.form=-n	tussenwerpsel, uitgang -n	TSW(form=-n)	
915	INT(type=interjection,inflection=r/re)	feat.form=-r/-re	tussenwerpsel, uitgang -r/-re	TSW(form=-r/-re)	
916	INT(type=interjection,inflection=a)	feat.form=-a	tussenwerpsel, uitgang -a	TSW(form=-a)	
919	INT(type=interjection,inflection=other)	_	tussenwerpsel, uitgang latijn, onduidelijk of evident fout geschreven	TSW(form=other)	
990	INT(type=other,inflection=0)	feat.probleemgeval=true	tussenwerpsel probleemgeval, geen uitgang	TSW(probleem=true,form=0)	
991	INT(type=other,inflection=e)	feat.probleemgeval=true,feat.form=-e	tussenwerpsel probleemgeval, uitgang -e	TSW(probleem=true,form=-e)	
992	INT(type=other,inflection=s/th)	feat.probleemgeval=true,feat.form=-s/-th	tussenwerpsel probleemgeval, uitgang -s/-th	TSW(probleem=true,form=-s/-th)	
993	INT(type=other,inflection=t)	feat.probleemgeval=true,feat.form=-t	tussenwerpsel probleemgeval, uitgang -t	TSW(probleem=true,form=-t)	
994	INT(type=other,inflection=n)	feat.probleemgeval=true,feat.form=-n	tussenwerpsel probleemgeval, uitgang -n	TSW(probleem=true,form=-n)	
995	INT(type=other,inflection=r/re)	feat.probleemgeval=true,feat.form=-r/-re	tussenwerpsel probleemgeval, uitgang -r/-re	TSW(probleem=true,form=-r/-re)	
996	INT(type=other,inflection=a)	feat.probleemgeval=true,feat.form=-a	tussenwerpsel probleemgeval, uitgang -a	TSW(probleem=true,form=-a)	
999	INT(type=other,inflection=other)	feat.probleemgeval=true	tussenwerpsel probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven	TSW(probleem=true,form=other)	
